"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"완산구",82,62,74,85,116,89,1853,1827,1631,1540,1440,1290,1190,1023,1154,1049
"덕진구",94,95,63,104,107,118,1604,1579,1453,1371,1504,1538,1257,1162,1145,1161
"군산시",64,56,47,76,79,77,1579,1606,1437,1322,1140,1089,1015,830,817,825
"익산시",53,62,41,52,67,74,1484,1544,1344,1246,1063,1010,820,878,692,751
"정읍시",23,31,23,20,21,28,503,475,414,437,374,375,306,271,281,306
"남원시",8,16,8,9,19,13,334,309,328,324,261,269,211,164,207,171
"김제시",17,16,18,22,28,25,370,337,302,313,267,240,289,207,229,275
"완주군",0,0,0,0,0,0,491,468,431,432,376,360,310,282,334,0
"진안군",0,0,0,0,0,0,104,83,93,74,86,77,62,53,50,0
"무주군",0,0,0,0,0,0,96,117,85,73,94,88,69,58,50,0
"장수군",0,0,0,0,0,0,78,84,81,80,77,76,54,39,51,0
"임실군",0,0,0,0,0,0,127,94,111,111,99,102,87,58,69,0
"순창군",0,0,0,0,0,0,119,114,105,103,63,93,66,42,51,0
"고창군",0,0,0,0,0,0,231,209,222,204,185,203,150,129,135,0
"부안군",0,0,0,0,0,0,238,214,179,187,190,195,167,129,129,0
"완주군",36,30,27,33,36,54,-,-,-,-,-,-,-,-,-,392
"진안군",3,5,3,5,3,5,-,-,-,-,-,-,-,-,-,42
"무주군",4,4,5,5,6,7,-,-,-,-,-,-,-,-,-,71
"장수군",3,5,4,6,6,3,-,-,-,-,-,-,-,-,-,54
"임실군",4,2,8,6,5,7,-,-,-,-,-,-,-,-,-,75
"순창군",3,7,3,6,6,5,-,-,-,-,-,-,-,-,-,71
"고창군",10,11,6,15,11,18,-,-,-,-,-,-,-,-,-,123
"부안군",11,9,8,10,11,6,-,-,-,-,-,-,-,-,-,117
"전라남도",429,462,376,460,516,530,9357,9275,8554,8049,7587,7413,6365,6201,6181,6157
"목포시",52,57,41,50,59,64,1215,1285,1196,1050,884,882,743,725,701,681
"여수시",77,74,65,86,88,87,1755,1718,1453,1399,1251,1257,1051,1083,1103,1027
"순천시",79,77,51,86,78,85,1432,1396,1304,1227,1273,1164,1017,1047,1056,1061
"나주시",28,32,26,34,48,45,414,567,593,623,591,582,488,514,444,487
"여천시",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"광양시",47,56,49,49,68,66,936,880,809,790,748,661,595,587,638,689
"담양군",0,0,0,0,0,0,176,184,156,175,146,153,146,106,124,0
"곡성군",0,0,0,0,0,0,101,85,94,107,69,83,53,48,49,0
"구례군",0,0,0,0,0,0,108,91,109,79,78,73,51,51,49,0
"여천군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"고흥군",0,0,0,0,0,0,235,205,219,176,189,209,149,136,141,0
"보성군",0,0,0,0,0,0,133,173,144,122,139,93,97,96,93,0
"화순군",0,0,0,0,0,0,280,242,222,243,205,201,201,187,182,0
"장흥군",0,0,0,0,0,0,162,146,125,126,134,157,128,106,103,0
"강진군",0,0,0,0,0,0,149,134,138,126,121,120,91,75,80,0
"해남군",0,0,0,0,0,0,315,298,251,275,284,263,237,157,187,0
"영암군",0,0,0,0,0,0,340,289,261,234,190,226,205,182,199,0
"무안군",0,0,0,0,0,0,439,454,384,356,348,278,310,422,367,0
"함평군",0,0,0,0,0,0,132,106,116,96,120,97,82,60,77,0
"영광군",0,0,0,0,0,0,258,237,238,221,200,259,200,175,160,0
"장성군",0,0,0,0,0,0,223,190,175,141,157,176,154,108,111,0
"완도군",0,0,0,0,0,0,241,266,254,219,196,211,150,141,129,0
"진도군",0,0,0,0,0,0,114,143,125,110,114,120,91,81,76,0
"신안군",0,0,0,0,0,0,199,186,188,154,150,148,126,114,112,0
"담양군",5,14,9,10,9,13,-,-,-,-,-,-,-,-,-,135
"곡성군",3,4,10,4,1,4,-,-,-,-,-,-,-,-,-,55
"구례군",5,5,0,2,2,3,-,-,-,-,-,-,-,-,-,48
"고흥군",3,6,8,13,9,15,-,-,-,-,-,-,-,-,-,148
"보성군",5,3,5,5,4,9,-,-,-,-,-,-,-,-,-,85
"화순군",13,15,14,13,12,12,-,-,-,-,-,-,-,-,-,184
"장흥군",7,7,6,5,7,8,-,-,-,-,-,-,-,-,-,91
"강진군",7,7,4,4,11,4,-,-,-,-,-,-,-,-,-,88
"해남군",16,17,7,10,12,17,-,-,-,-,-,-,-,-,-,177
"영암군",10,20,10,17,15,18,-,-,-,-,-,-,-,-,-,179
"무안군",21,23,23,25,33,27,-,-,-,-,-,-,-,-,-,341
"함평군",4,6,5,3,4,4,-,-,-,-,-,-,-,-,-,66
"영광군",14,11,10,15,17,12,-,-,-,-,-,-,-,-,-,175
"장성군",8,10,9,9,8,11,-,-,-,-,-,-,-,-,-,123
"완도군",9,8,15,12,14,12,-,-,-,-,-,-,-,-,-,146
"진도군",9,4,5,3,8,5,-,-,-,-,-,-,-,-,-,76
"신안군",7,6,4,5,9,9,-,-,-,-,-,-,-,-,-,95
"경상북도",598,614,496,681,741,759,14183,14273,13363,12190,11687,10637,9046,8163,8180,8128
"포항시",123,138,117,141,170,158,3052,2986,2599,2430,2265,2155,1848,1863,1743,1772
"남구",60,59,62,72,82,80,1561,1526,1357,1196,1119,1088,877,892,820,861
"북구",63,79,55,69,88,78,1491,1460,1242,1234,1146,1067,971,971,923,911
"경주시",58,49,67,80,64,70,1297,1252,1130,1035,1127,969,859,758,765,784
"김천시",36,40,27,34,35,33,569,660,688,641,592,562,473,439,404,402
"안동시",30,37,34,43,46,45,766,780,729,668,603,552,470,451,443,494
"구미시",102,100,89,123,149,152,2810,2792,2618,2470,2326,2125,1794,1476,1510,1499
"영주시",24,24,5,26,31,28,397,441,448,404,387,300,280,281,297,271
"영천시",17,23,16,31,29,22,479,477,446,400,387,414,330,310,339,281
