"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"남원시",1.473,1.383,1.467,1.266,1.337,1.324,1.215,1.161,0.960
"김제시",1.310,1.268,1.257,1.200,1.052,0.923,0.969,0.918,1.199
"완주군",1.577,1.697,1.509,1.379,1.136,1.040,0.923,0.822,0.865
"진안군",1.645,1.821,1.750,1.625,1.714,1.685,1.637,1.562,1.190
"무주군",1.659,1.460,1.324,1.208,0.915,0.888,1.111,0.830,0.848
"장수군",1.464,1.388,1.380,1.140,1.049,1.204,1.279,1.050,1.004
"임실군",1.805,1.634,1.432,1.581,1.397,1.416,1.749,1.803,1.560
"순창군",1.144,1.475,2.017,1.795,1.816,1.639,1.660,0.946,0.822
"고창군",1.445,1.278,1.116,1.044,1.147,1.226,1.145,1.019,0.949
"부안군",1.352,1.178,1.204,1.361,1.060,1.211,0.953,1.009,0.881
"전라남도",1.497,1.549,1.466,1.325,1.240,1.234,1.145,1.017,0.969
"목포시",1.261,1.304,1.268,1.038,0.992,0.948,0.801,0.700,0.737
"여수시",1.381,1.550,1.464,1.334,1.192,1.108,1.067,1.009,0.952
"순천시",1.261,1.340,1.247,1.180,1.108,1.160,1.041,1.000,0.971
"나주시",1.486,1.639,1.589,1.504,1.360,1.250,1.109,1.054,1.027
"광양시",1.809,1.835,1.586,1.450,1.333,1.272,1.232,1.111,1.061
"담양군",1.692,1.599,1.514,1.423,1.384,1.268,1.332,0.903,0.855
"곡성군",1.347,1.437,1.348,1.144,1.336,1.000,0.811,0.544,0.535
"구례군",1.449,1.570,1.476,1.247,0.740,1.136,1.047,1.138,0.942
"고흥군",1.101,1.091,1.323,1.153,1.168,1.438,1.459,1.245,1.095
"보성군",1.737,1.700,1.492,1.478,1.195,1.159,1.057,0.814,0.793
"화순군",1.274,1.219,1.126,1.072,0.990,1.107,1.091,0.808,0.739
"장흥군",1.283,1.204,1.013,1.112,1.248,1.510,1.774,1.337,1.148
"강진군",1.921,1.755,1.717,1.527,1.412,1.429,1.063,0.907,0.888
"해남군",2.433,2.464,2.423,2.099,1.886,1.893,1.668,1.361,1.042
