항목,연령구분5세,시점,값
H30,10_14세,2016년 08월,14
H30,5_9세,2016년 08월,10
H30,5세미만,2016년 08월,0
H40,10_14세,2016년 08월,748
H40,5_9세,2016년 08월,311
H40,5세미만,2016년 08월,72
J00,10_14세,2016년 08월,14284
J00,5_9세,2016년 08월,43545
J00,5세미만,2016년 08월,136587
J01,10_14세,2016년 08월,21108
J01,5_9세,2016년 08월,65861
J01,5세미만,2016년 08월,111826
J02,10_14세,2016년 08월,23995
J02,5_9세,2016년 08월,67219
J02,5세미만,2016년 08월,158818
J03,10_14세,2016년 08월,35009
J03,5_9세,2016년 08월,88738
J03,5세미만,2016년 08월,152058
J04,10_14세,2016년 08월,12802
J04,5_9세,2016년 08월,24722
J04,5세미만,2016년 08월,32236
J06,10_14세,2016년 08월,23550
J06,5_9세,2016년 08월,59189
J06,5세미만,2016년 08월,146398
K12,10_14세,2016년 08월,5244
K12,5_9세,2016년 08월,8414
K12,5세미만,2016년 08월,11428
H10,10_14세,2016년 09월,42265
H10,5_9세,2016년 09월,64063
H10,5세미만,2016년 09월,58456
H16,10_14세,2016년 09월,6534
H16,5_9세,2016년 09월,6630
H16,5세미만,2016년 09월,4938
H20,10_14세,2016년 09월,156
H20,5_9세,2016년 09월,72
H20,5세미만,2016년 09월,19
H30,10_14세,2016년 09월,12
H30,5_9세,2016년 09월,6
H30,5세미만,2016년 09월,0
H40,10_14세,2016년 09월,425
H40,5_9세,2016년 09월,223
H40,5세미만,2016년 09월,82
J00,10_14세,2016년 09월,22075
J00,5_9세,2016년 09월,50922
J00,5세미만,2016년 09월,149046
J01,10_14세,2016년 09월,36134
J01,5_9세,2016년 09월,90703
J01,5세미만,2016년 09월,141235
J02,10_14세,2016년 09월,32641
J02,5_9세,2016년 09월,66499
J02,5세미만,2016년 09월,142689
J03,10_14세,2016년 09월,42111
J03,5_9세,2016년 09월,81571
J03,5세미만,2016년 09월,125996
J04,10_14세,2016년 09월,20573
J04,5_9세,2016년 09월,30954
J04,5세미만,2016년 09월,34101
J06,10_14세,2016년 09월,35397
J06,5_9세,2016년 09월,67732
J06,5세미만,2016년 09월,155358
K12,10_14세,2016년 09월,3343
K12,5_9세,2016년 09월,6092
K12,5세미만,2016년 09월,7657
H10,10_14세,2016년 10월,24125
H10,5_9세,2016년 10월,41470
H10,5세미만,2016년 10월,48414
H16,10_14세,2016년 10월,5300
H16,5_9세,2016년 10월,5079
H16,5세미만,2016년 10월,4045
H20,10_14세,2016년 10월,152
H20,5_9세,2016년 10월,64
H20,5세미만,2016년 10월,17
H30,10_14세,2016년 10월,12
H30,5_9세,2016년 10월,7
H30,5세미만,2016년 10월,1
H40,10_14세,2016년 10월,433
H40,5_9세,2016년 10월,224
H40,5세미만,2016년 10월,64
J00,10_14세,2016년 10월,23738
J00,5_9세,2016년 10월,60944
J00,5세미만,2016년 10월,171287
J01,10_14세,2016년 10월,38100
J01,5_9세,2016년 10월,111990
J01,5세미만,2016년 10월,173809
J02,10_14세,2016년 10월,34229
J02,5_9세,2016년 10월,73471
J02,5세미만,2016년 10월,143276
J03,10_14세,2016년 10월,45338
J03,5_9세,2016년 10월,86397
J03,5세미만,2016년 10월,119329
J04,10_14세,2016년 10월,22183
