"시점","행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"2017","광주광역시","40~44세",122387,61443,60944
"2017","광주광역시","45~49세",135394,67815,67579
"2017","광주광역시","50~54세",118620,59695,58925
"2017","광주광역시","55~59세",112903,55781,57122
"2017","광주광역시","60~64세",79969,38949,41020
"2017","광주광역시","15세미만",213034,110277,102757
"2017","광주광역시","65세이상",181894,77208,104686
"2017","대전광역시","합계",1525849,765718,760131
"2017","대전광역시","15~19세",100929,53119,47810
"2017","대전광역시","20~24세",129500,68272,61228
"2017","대전광역시","25~29세",107541,58575,48966
"2017","대전광역시","30~34세",99955,51950,48005
"2017","대전광역시","35~39세",117258,58975,58283
"2017","대전광역시","40~44세",119963,59653,60310
"2017","대전광역시","45~49세",135868,67710,68158
"2017","대전광역시","50~54세",116530,58423,58107
"2017","대전광역시","55~59세",120940,59704,61236
"2017","대전광역시","60~64세",89692,44318,45374
"2017","대전광역시","15세미만",208072,107318,100754
"2017","대전광역시","65세이상",179601,77701,101900
"2017","울산광역시","합계",1157077,600093,556984
"2017","울산광역시","15~19세",67585,36583,31002
"2017","울산광역시","20~24세",75679,44291,31388
"2017","울산광역시","25~29세",76201,43260,32941
"2017","울산광역시","30~34세",79461,42926,36535
"2017","울산광역시","35~39세",97287,51408,45879
"2017","울산광역시","40~44세",92872,47481,45391
"2017","울산광역시","45~49세",109101,54251,54850
"2017","울산광역시","50~54세",105196,54224,50972
"2017","울산광역시","55~59세",101675,52379,49296
"2017","울산광역시","60~64세",70485,35647,34838
"2017","울산광역시","15세미만",167117,86919,80198
"2017","울산광역시","65세이상",114418,50724,63694
"2017","세종특별자치시","합계",276589,139347,137242
"2017","세종특별자치시","15~19세",15821,8030,7791
"2017","세종특별자치시","20~24세",18151,9868,8283
